simulation_name,sim_type,m_value,rep_index,overall_return,commit_return,n,n_repetitions
etc_standard,run,4000.0,92,-0.1547,0.129,10000,100
etc_standard,run,4000.0,93,-0.0238,0.318,10000,100
etc_standard,run,4000.0,94,-0.073,0.3045,10000,100
etc_standard,run,4000.0,95,-0.1298,0.1996666666666666,10000,100
etc_standard,run,4000.0,96,-0.1766,0.1411666666666666,10000,100
etc_standard,run,4000.0,97,-0.0571,0.2143333333333333,10000,100
etc_standard,run,4000.0,98,-0.1754,0.1733333333333333,10000,100
etc_standard,run,4000.0,99,-0.106,0.2868333333333333,10000,100
etc_standard,run,6000.0,0,-0.247,0.3315,10000,100
etc_standard,run,6000.0,1,-0.1243,0.53575,10000,100
etc_standard,run,6000.0,2,-0.3029,0.0545,10000,100
etc_standard,run,6000.0,3,-0.2983,0.38675,10000,100
etc_standard,run,6000.0,4,-0.2678,0.3065,10000,100
etc_standard,run,6000.0,5,-0.3529,0.22625,10000,100
etc_standard,run,6000.0,6,-0.3041,0.19725,10000,100
etc_standard,run,6000.0,7,-0.2853,0.19475,10000,100
etc_standard,run,6000.0,8,-0.2458,0.32075,10000,100
etc_standard,run,6000.0,9,-0.2601,0.4255,10000,100
etc_standard,run,6000.0,10,-0.2128,0.29125,10000,100
etc_standard,run,6000.0,11,-0.2729,0.3505,10000,100
etc_standard,run,6000.0,12,-0.2858,0.271,10000,100
etc_standard,run,6000.0,13,-0.3636,0.04525,10000,100
etc_standard,run,6000.0,14,-0.2446,0.2675,10000,100
etc_standard,run,6000.0,15,-0.3053,0.18025,10000,100
etc_standard,run,6000.0,16,-0.219,0.3185,10000,100
etc_standard,run,6000.0,17,-0.2803,0.2495,10000,100
etc_standard,run,6000.0,18,-0.259,0.278,10000,100
etc_standard,run,6000.0,19,-0.371,0.00625,10000,100
etc_standard,run,6000.0,20,-0.3189,0.29975,10000,100
etc_standard,run,6000.0,21,-0.1986,0.34925,10000,100
etc_standard,run,6000.0,22,-0.21,0.3225,10000,100
etc_standard,run,6000.0,23,-0.1738,0.403,10000,100
etc_standard,run,6000.0,24,-0.2065,0.3425,10000,100
etc_standard,run,6000.0,25,-0.2319,0.3225,10000,100
etc_standard,run,6000.0,26,-0.216,0.32975,10000,100
etc_standard,run,6000.0,27,-0.3257,0.06525,10000,100
etc_standard,run,6000.0,28,-0.3426,0.15425,10000,100
etc_standard,run,6000.0,29,-0.3532,0.042,10000,100
etc_standard,run,6000.0,30,-0.256,0.33025,10000,100
etc_standard,run,6000.0,31,-0.3366,0.00475,10000,100
etc_standard,run,6000.0,32,-0.2652,0.31575,10000,100
etc_standard,run,6000.0,33,-0.3937,0.077,10000,100
etc_standard,run,6000.0,34,-0.2363,0.344,10000,100
etc_standard,run,6000.0,35,-0.2481,0.429,10000,100
etc_standard,run,6000.0,36,-0.409,0.0645,10000,100
etc_standard,run,6000.0,37,-0.2195,0.21925,10000,100
etc_standard,run,6000.0,38,-0.2096,0.30425,10000,100
etc_standard,run,6000.0,39,-0.24,0.1855,10000,100
